0,
komt steeds beter in zijn rol,+
betrouwbaar,+
"Jong, vernieuwend, aangenaam.",+
vanwege de maatregelen in het onderwijs,=
"jonge hond, goed debater, rechts",+
Goede minister president,+
economisch niet onderlegde domme leider,-
positieve en negatieve punten,=
krijg ik een positief gevoel bij,+
Doet het goed,+
Weet waar die voorstaat,+
goede politicus,+
1,
hij probeert het,=
"nieuwe leider, nieuwe kansen",=
Jammer dat-ie zichzelf mag zijn.,-
in het land der blinden is hij eenoog,=
"Daadkrachtig, heeft moeilijke taak",+
duidelijk,+
doet het best aardig,+
mag zich nog duidelijker laten horen,=
wijsneus,-
vertrouw ik niet,-
2,
"sympathiek, 'verkeerde' partij",=
enthousiast en enthousiastmerend,+
enthousiast,+
beste premier ooit,+
Top vent,+
als politicus wel redelijk,+
"goede ideeen, vechter, eerlijk",+
pipo,=
goed,+
"vvdhè,ver boven modaal weinig rekening houden",=
doet het super,+
3,
Betrouwbaar,+
volgens mij fout ideeen,-
is prive,=
voorlopig heeft ie het op de rit,=
"Wel liberaal, nooit eigen baas geweest",=
moet t nog waarmaken,=
Is goed voor zijn eigen mensen (VVD'ers),=
"Snelle jongen, die duidelijk de rijke klasse vertegenwoordigd",=
"verkeerde partij, wel kundig helaas.",-
komt positief over,+
"Vlot, redelijk",+
doet 't goed,+
ambitieus,+
4,
goede ideeen maar niet de juiste woorden,-
goede politicus,+
bezuinigt op foute dingen,-
doet zijn best,+
Doet het beter dan verwacht,+
"joviaal, iets té",-
gelikt,=
doet het beter dan verwacht,+
blaaskaak,-
goede debater,+
jonge hond,=
"doet zijn best,komt er wel",+
doet het aardig,+
positieve uitstraling,+
ik waardeer in Rutte een frisse manier van denken,+
