0,
je kan ook te groen zijn,-
ik heb nog niet genoeg van haar gehoord,=
te links,-
Onwennig mediafiguur,-
zij moet zich nog bewijzen na Halsema,=
ben benieuwd,=
Moet zich nog bewijzen.,=
nog niet echt lang actief,=
Te kort om te oordelen,=
goed en slecht,=
te nieuw om indruk te formuleren,=
zwak over afganistan,-
ken ik niet,=
ken ik niet zo,=
"beginnend, getalenteerd",+
Goede opvolger van Femke Halsema,+
zwak,-
lijkt open,=
moet nog ontwikkelen.,=
"Weloverwogen, Strijdlustig",+
Missie in Afganistan: nee. Veder: Okee,=
moet zich nog bewijzen,=
"jong, veelbelovend",+
onbekend,=
Toont ruggegraat,+
heeft verkeerde keuzes gemaakt,-
lastige taak om over te nemen van Halsem,=
niet zo mee bekend,=
Wil zich te graag bewijzen,-
Ken ik nog niet zo,=
weinig over te melden,=
nog niet zo bekend mee,=
nieuw en fris,+
Zelfstandige vrouw,+
na afg.missie gedaald in oordeel,-
ik mis femke ;),=
positieve en negatieve punten,=
ik hoop dat ze nog groeit in haar rol,=
slap aftreksel,-
"Ken ik nog niet goed, net nieuw.",=
vlot,=
veel negatieve publiciteit,-
wil meer van haar zien als partijleider,=
heeft nog niet veel laten zien,=
slechte speech op tv,-
"lijkt positief ingesteld, weinig bekend",=
nog steeds in de schaduw van femke,=
goede ideeen,+
domme partij,-
nog te kort om mening te vormen,=
