0,
hangt naar mijn idee aan een imago wat ik niks vind,-
jongeren,=
Geen onaardige ondergoed,+
verliest zijn kwaliteit,-
"kinderachtig, duur, drukke prints",-
Te dure kleding,-
Ken ik niet.,=
Niet interessant,-
word gebruikt om mee te pronken,=
Prijs kwaliteit verhouding valt tegen,-
geen toegevoegde waarde voor mij/ niet bijzonder,-
altijd boven de broek uit.,=
voor kinderen en mannen,=
"Leuk ondergoed, maar duur",-
niet positief ook niet negatief,=
"Hele mooi boxers! Erg duur. Mooie, niet bijzondere kleren.",+
"Te duur, te populair",-
Iieww! arrogante onzekere pubers lopen hierin,-
Boxers: kleur vervaagd niet en lubberen niet uit,+
"leuke producten, alleen te duur",=
heb ik niet,=
wel leuke kleding volgens mij,+
goede kwaliteit,+
sportief en veel kleur,+
voor jongeren,=
overdreven,-
Leuke kleuren,+
je ziet het te vaak,-
te duur,-
mooie artikelen,+
Mooie kleding,+
iedereen draagt het,=
alleen naam bekend,=
redelijk passe,-
niet de moeite waard om te dragen,-
te duur,-
leuk,+
duur,-
Modern,=
ondergoed alleen voor het merk kopen vind ik overdreven,-
te duur,-
heerlijk zittende boxer,+
weet niet,=
niet vernieuwend,-
zie je veel,=
Erg fijne kleding!,+
Volks en duur,-
mooi ondergoed,+
"goede kwaliteit, maar te duur",-
te veel geld voor een product en alleen maar voor een merkje,-
